Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[acqabr],22,1,ILP_config_NE_roots,Key,a,20120514_015837,134,615,164,6,0.4407894736842105,0.17748344370860927,0.2530689329556185,0.2644003777148253,0.2587346553352219,378,300,681415,27430
[acqabr],22,2,ILP_config_NE_roots,Key,a,20120514_015837,115,575,131,5,0.4581673306772908,0.16546762589928057,0.2431289640591966,0.2536997885835095,0.24841437632135305,460,300,1446104,28605
[dlramt],23,1,ILP_config,Key,a,20120514_023245,48,42,41,57,0.3287671232876712,0.32653061224489793,0.32764505119453924,0.7167235494880546,0.5221843003412969,136,300,1771293,30032
[dlramt],23,2,ILP_config,Key,a,20120514_023245,29,56,49,51,0.2248062015503876,0.21323529411764705,0.2188679245283019,0.6037735849056605,0.41132075471698115,147,300,160848,30235
[dlramt],23,1,Paum,Key,a,20120514_023245,104,34,53,9,0.6265060240963856,0.7074829931972789,0.6645367412140575,0.7220447284345047,0.6932907348242812,-1,-1,9817,9409
[dlramt],23,2,Paum,Key,a,20120514_023245,94,35,56,7,0.5987261146496815,0.6911764705882353,0.6416382252559726,0.6894197952218429,0.6655290102389078,-1,-1,9831,9620
[acquired],24,1,ILP_config_NE_roots,Key,a,20120514_030219,106,223,128,14,0.4274193548387097,0.30903790087463556,0.3587140439932318,0.4060913705583756,0.3824027072758037,303,300,666745,27091
[acquired],24,2,ILP_config_NE_roots,Key,a,20120514_030219,100,221,138,19,0.38910505836575876,0.29411764705882354,0.33500837520938026,0.3986599664991625,0.3668341708542714,291,300,994479,26569
[acquired],24,1,Paum,Key,a,20120514_030219,179,134,221,30,0.41627906976744183,0.521865889212828,0.463130659767141,0.5407503234152652,0.5019404915912031,-1,-1,9547,11753
[acquired],24,2,Paum,Key,a,20120514_030219,175,141,172,24,0.4716981132075472,0.5147058823529411,0.4922644163150492,0.5597749648382561,0.5260196905766527,-1,-1,9972,11637
[purchabr],25,1,Paum,Key,a,20120514_033006,311,256,424,59,0.3916876574307305,0.4968051118210863,0.4380281690140845,0.5211267605633803,0.47957746478873237,-1,-1,9962,12821
[purchabr],25,2,Paum,Key,a,20120514_033006,311,277,452,49,0.3830049261083744,0.48822605965463106,0.42926155969634233,0.49689440993788825,0.46307798481711526,-1,-1,9790,13114
[purchabr],25,1,ILP_config_NE_roots,Key,a,20120514_033006,43,579,138,4,0.23243243243243245,0.06869009584664537,0.10604192355117141,0.11590628853267572,0.11097410604192356,403,300,135327,26663
[purchabr],25,2,ILP_config_NE_roots,Key,a,20120514_033006,71,555,152,11,0.3034188034188034,0.11145996860282574,0.16303099885189434,0.18828932261768086,0.1756601607347876,423,300,1417011,27488
[purchaser],26,1,ILP_config_NE_roots,Key,a,20120514_040111,98,214,135,14,0.3967611336032389,0.3006134969325153,0.34205933682373474,0.39092495636998253,0.36649214659685864,285,300,586279,26547
